wikidata	wg	external_name	external_short	external_wikidata	external_locale	external_link	external_type	source	curator	curation_date	comment	mediator(s)
Q141133896	Search and Harvesting	EOSC Taskforce Semantic Interoperability			Europe	https://eosc.eu/advisory-groups/technical-and-semantic-interoperability-task-force	task force	charter	orcid:0000-0003-4423-4370	2026-08-25		H. Widmann (member)
Q141133956	Multi-Cloud	BMBF FAIR DS project			DE	https://www.nfdi.de/fair-data-spaces/?lang=en	project	charter	orcid:0000-0003-4423-4370	2026-08-25	see https://docs.google.com/document/d/1qoViQAJ-RttDDFcqCCvAzXtxlsNwcezldz1ujPxOc2U/edit	
Q141133956	Multi-Cloud	Worldwide LHC Computing Grid	WLCG			https://home.cern/science/computing/grid/	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	European Open Science Cloud	EOSC	Q29051497	Europe	https://open-science-cloud.ec.europa.eu	project	charter	orcid:0000-0003-4423-4370	2026-08-25	see https://research-and-innovation.ec.europa.eu/strategy/strategy-2020-2024/our-digital-future/open-science/euro	
Q141133957	Overall Architecture	Common European Data Spaces			Europe	https://digital-strategy.ec.europa.eu/en/policies/data-spaces	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	Common International Data Spaces			International	https://internationaldataspaces.org	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	GAIA-X		Q74431584	Europe	https://gaia-x.eu		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	Australian Research Data Commons	ARDC	Q4824459	Australia	https://ardc.edu.au		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	NIH Research Data Commons	NIH-RDC		USA	https://commonfund.nih.gov/commons		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133957	Overall Architecture	RDA Global Open Research Commons			International	https://www.rd-alliance.org/groups/global-open-research-commons-ig/activity/		charter	orcid:0000-0003-4423-4370	2026-08-25		
